"12gr -- Palveluiden ulkomaankauppa alueittain ja palveluerittäin, vuosittain, 2013-2023"

"Alue","2023 Vienti, miljoonaa euroa S Palvelut","2023 Vienti, miljoonaa euroa SA Tuotannolliset palvelut","2023 Vienti, miljoonaa euroa SB Huolto- ja korjauspalvelut, muualla luokittelemattomat","2023 Vienti, miljoonaa euroa SC Kuljetus","2023 Vienti, miljoonaa euroa SD Matkailu","2023 Vienti, miljoonaa euroa SE Rakentaminen","2023 Vienti, miljoonaa euroa SF Vakuutus- ja eläkepalvelut","2023 Vienti, miljoonaa euroa SG Rahoituspalvelut","2023 Vienti, miljoonaa euroa SH Henkisen omaisuuden käytöstä perityt maksut, muualle luokittelemattomat","2023 Vienti, miljoonaa euroa SI Televiestintä-, tietotekniikka- ja tietopalvelut","2023 Vienti, miljoonaa euroa SJ Muut liike-elämän palvelut","2023 Vienti, miljoonaa euroa SK Henkilökohtaiset, kulttuuri- ja virkistyspalvelut","2023 Vienti, miljoonaa euroa SL Julkisyhteisöjen tuottamat tavarat ja tarjoamat palvelut, muualle luokittelemattomat"
"Peru",16,.,.,.,.,.,.,.,.,.,.,.,.
"Pitcairn",0,.,.,.,.,.,.,.,.,.,.,.,.
"Pohjois-Mariaanit",0,.,.,.,.,.,.,.,.,.,.,.,.
"Portugali",90,...,8,15,12,...,...,...,3,25,23,0,...
"Puola",507,...,12,101,56,...,...,8,14,134,171,1,...
"Päiväntasaajan Guinea",0,.,.,.,.,.,.,.,.,.,.,.,.
"Qatar",21,.,.,.,.,.,.,.,.,.,.,.,.
"Ranska",828,17,15,89,120,3,1,9,95,276,195,4,3
"Ranskan eteläiset alueet",0,.,.,.,.,.,.,.,.,.,.,.,.
"Ranskan Polynesia",4,.,.,.,.,.,.,.,.,.,.,.,.
"Romania",34,0,1,5,3,...,...,...,1,17,5,...,...
"Ruanda",1,.,.,.,.,.,.,.,.,.,.,.,.
"Ruotsi",4906,738,150,745,332,42,1,153,92,1193,1396,44,19
"Saint Helena",...,.,.,.,.,.,.,.,.,.,.,.,.
"Saint Kitts ja Nevis",0,.,.,.,.,.,.,.,.,.,.,.,.
"Saint Lucia",0,.,.,.,.,.,.,.,.,.,.,.,.
"Saint Vincent ja Grenadiinit",31,.,.,.,.,.,.,.,.,.,.,.,.
"Saksa",2784,457,69,484,238,4,3,13,128,718,631,29,11
"Salomonsaaret",0,.,.,.,.,.,.,.,.,.,.,.,.
"Sambia",7,.,.,.,.,.,.,.,.,.,.,.,.
"Samoa",0,.,.,.,.,.,.,.,.,.,.,.,.
"San Marino",0,.,.,.,.,.,.,.,.,.,.,.,.
"São Tomé ja Príncipe",0,.,.,.,.,.,.,.,.,.,.,.,.
"Saudi-Arabia",65,...,1,2,2,...,...,...,...,37,21,0,...
"Senegal",3,.,.,.,.,.,.,.,.,.,.,.,.
"Serbia",15,.,.,.,.,.,.,.,.,.,.,.,.
"Seychellit",0,.,.,.,.,.,.,.,.,.,.,.,.
"Sierra Leone",0,.,.,.,.,.,.,.,.,.,.,.,.
"Singapore",759,.,.,.,.,.,.,.,.,.,.,.,.
"Sint Maarten (Alankomaiden osa)",0,.,.,.,.,.,.,.,.,.,.,.,.
"Slovakia",55,.,.,.,.,.,.,.,.,.,.,.,.
"Slovenia",29,.,.,.,.,.,.,.,.,.,.,.,.
"Somalia",0,.,.,.,.,.,.,.,.,.,.,.,.
"Sri Lanka",2,.,.,.,.,.,.,.,.,.,.,.,.
"Sudan",0,.,.,.,.,.,.,.,.,.,.,.,.
"Suriname",0,.,.,.,.,.,.,.,.,.,.,.,.
"Eswatini",1,.,.,.,.,.,.,.,.,.,.,.,.
"Sveitsi",1540,234,3,164,49,...,2,2,166,136,776,2,5
"Syyria",...,.,.,.,.,.,.,.,.,.,.,.,.
"Tadzikistan",0,.,.,.,.,.,.,.,.,.,.,.,.
"Taiwan",53,.,.,.,.,.,.,.,.,.,.,.,.
"Tansania",8,.,.,.,.,.,.,.,.,.,.,.,.
"Tanska",1079,29,15,194,62,...,...,38,22,380,314,9,...
"Thaimaa",92,.,.,.,.,.,.,.,.,.,.,.,.
"Togo",2,.,.,.,.,.,.,.,.,.,.,.,.
"Tokelau",0,.,.,.,.,.,.,.,.,.,.,.,.
"Tonga",0,.,.,.,.,.,.,.,.,.,.,.,.
"Trinidad ja Tobago",1,.,.,.,.,.,.,.,.,.,.,.,.
"Tšad",0,.,.,.,.,.,.,.,.,.,.,.,.
"Tšekki",151,1,9,30,24,0,0,0,9,49,27,2,...
"Tunisia",3,.,.,.,.,.,.,.,.,.,.,.,.
"Turkki",109,0,5,14,9,...,...,1,3,59,18,0,...
"Turkmenistan",0,.,.,.,.,.,.,.,.,.,.,.,.
"Turks- ja Caicossaaret",2,.,.,.,.,.,.,.,.,.,.,.,.
"Tuvalu",0,.,.,.,.,.,.,.,.,.,.,.,.
"Uganda",2,.,.,.,.,.,.,.,.,.,.,.,.
"Ukraina",39,.,.,.,.,.,.,.,.,.,.,.,.
"Unkari",114,1,2,19,6,...,...,0,7,42,37,1,...
"Uruguay",46,.,.,.,.,.,.,.,.,.,.,.,.
"Uusi-Kaledonia",3,.,.,.,.,.,.,.,.,.,.,.,.
"Uusi-Seelanti",68,.,.,.,.,.,.,.,.,.,.,.,.
"Uzbekistan",5,.,.,.,.,.,.,.,.,.,.,.,.
"Valko-Venäjä",4,.,.,.,.,.,.,.,.,.,.,.,.
"Wallis ja Futuna",0,.,.,.,.,.,.,.,.,.,.,.,.
"Vanuatu",0,.,.,.,.,.,.,.,.,.,.,.,.
"Vatikaani",0,.,.,.,.,.,.,.,.,.,.,.,.
"Venezuela",3,.,.,.,.,.,.,.,.,.,.,.,.
"Venäjä",171,0,0,33,37,0,...,2,15,58,21,1,4
"Vietnam",33,.,.,.,.,.,.,.,.,.,.,.,.
"Viro",812,.,.,.,.,.,.,.,.,.,.,.,.
"Yhdistynyt kuningaskunta",1179,31,16,200,160,0,1,10,62,417,263,11,8
"Yhdysvallat (USA)",4859,56,81,235,224,0,1,26,716,2763,726,16,16
"Yhdysvaltain Neitsytsaaret",0,.,.,.,.,.,.,.,.,.,.,.,.
"Yhdysvaltain pienet erillissaaret",0,.,.,.,.,.,.,.,.,.,.,.,.
"Zimbabwe",0,.,.,.,.,.,.,.,.,.,.,.,.
